StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q8,Q8_16_TEXT,Q9,Q9_22_TEXT,Q10,Q10_20_TEXT,Q11,Q11_33_TEXT,Q12,Q12_14_TEXT,Q13,Q13_28_TEXT,Q14,Q14_16_TEXT,Q15,Q16,Q17,Q18,Q18_23_TEXT,Q19,Q19_23_TEXT,Q20_15,Q20_26,Q20_27,Q20_28,Q20_29,Q20_30,Q20_31,Q20_32,Q20_33,Q20_34,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q21_9,Q21_10,Q22_15,Q22_26,Q22_27,Q22_28,Q22_29,Q22_30,Q22_31,Q22_32,Q22_33,Q22_34,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_7,Q23_8,Q23_9,Q23_10,Q24,Q25,Q26,Q27_9,Q28,Q28_8_TEXT,Q29,Q30,Q30_42_TEXT,Q31,Q32,Q33,Q34_1,Q35
2024-03-01 18:32:16,2024-03-01 20:54:24,Survey Preview,NA,100,8527,True,2024-03-01 20:54:26,R_4pog9bU6Z3lWRBd,NA,NA,NA,NA,30.589,114.2681,preview,ZH-S,"Yes, I fully understand","Yes, I fully understand","1- Study Preregistration
(e.g pre-analysis plan, prospective registration)
,2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
,3- Replication Studies
 (research attempting to reproduce the methods and findings of prior research) 
,4- Open Data
(making research data publicly available, e.g FAIR data)
,5- Open Code
(making analysis code publicly available)
,6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
,8- Open Peer Review
 (journal or grant peer review where authors and reviewers are aware of each other's identity) 
",5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),2- No,2- No,2- No,2- No,2- No,2- No,5- Very high probability,5- Very high probability,5- Very high probability,5- Very high probability,5- Very high probability,5- Very high probability,5- Very high probability,5- Very high probability,"1- Replicating the research of others requires raw data or code, but sometimes the data and code may not be publicly available, or the data storage may be irregular and difficult to access,2- The original research methodology was not made public,4- Some research questions are very complex and require expertise and skills in many areas, making it more challenging to conduct repetitive studies,5- Colleagues didn't replicate other people's research much, which made me think I didn't need to do it either,7- Some authors didn’t like others replicating their research,8- Journals or peers prefer studies with novel results or with positive results; replication studies are not well-published,9- Institutes and publishers do not have adequate incentives to encourage replication studies, resulting in poor motivation among researchers,10- Replication studies lack financial support",NA,"1- I don't know how to share my data; not familiar with the process or the platform to share the data,8- Concern that others will use my data incorrectly or inappropriately, which may lead to misleading results",NA,"1- I don't know how to share my code; not familiar with the process or the platform to open code,7- Concern that others will use my code incorrectly or inappropriately, which may lead to misleading results",NA,No reasons,NA,No reasons,NA,No reason,NA,"1- Conferences, lectures, etc. on open science,2- Social media and blogs such as Twitter, WeChat, etc,4- Open science-related academic societies, such as COSN, AIMOS etc,6- Open science-related tools such as Github",NA,5- Highly willing,1- Strongly unwilling,1- Very difficult,"1- There are language barriers that make communication difficult,2- Differences in academic culture and research practices,4- Inadequate funding and resources for research,7- Research area specialisation and technical barriers,8- Collaboration challenges posed by time zone differences,9- International differences in science evaluation and incentive mechanisms",NA,"1- Literature resources purchased by the university library,2- Google Scholar, web of science and other free indexing engines,4- SCI-HUB,6- ChinaXiv、arXiv, bioRxiv,8- Write an email to the author requesting the article,9- Ask friends or academic community for help",NA,70,70,70,70,70,70,70,70,70,70,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before",0,0,0,0,0,0,0,0,0,0,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,3- Moderately important,No,NA,NA,Male,NA,28,Postgraduate,NA,"Wuhan Botanical Garden, Chinese Academy of Sciences",Science (including science and technology),2023,50,Nil
2024-04-01 10:03:34,2024-04-01 10:19:28,IP Address,105.112.236.50,100,954,True,2024-04-01 10:19:29,R_4n2YHj1TN1pyrT3,NA,NA,NA,NA,12.996,7.6049,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
",NA,5- Strongly agree,NA,NA,NA,NA,NA,NA,NA,1- I have done (including as a principal author or participant),NA,NA,NA,NA,NA,NA,NA,4- High probability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1- There is no access to learn about registered reports or which journals accept registered reports,NA,NA,NA,"2- Social media and blogs such as Twitter, WeChat, etc",NA,5- Highly willing,1- Strongly unwilling,3- Neutral,"1- There are language barriers that make communication difficult,2- Differences in academic culture and research practices,3- Legal restrictions on international data sharing and privacy protection issues,4- Inadequate funding and resources for research",NA,"1- Literature resources purchased by the university library,2- Google Scholar, web of science and other free indexing engines,7- Databases of societies such as the Royal Physical Society database,9- Ask friends or academic community for help",NA,55,21,71,87,82,82,60,90,21,33,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before",27,27,36,27,18,25,29,35,29,11,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,Unacceptable,Acceptable,Unacceptable,Acceptable,Unacceptable,Unacceptable,5- Very important,No,NA,NA,Female,NA,27,Postgraduate,NA,"Federal University of Agriculture Makurdi, Benue Nigeria",Science (including science and technology),2019,26,NA
2024-04-01 10:04:33,2024-04-01 10:22:02,IP Address,105.113.76.221,100,1049,True,2024-04-01 10:22:03,R_7RiUezYFls99ZND,NA,NA,NA,NA,6.4474,3.3903,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","4- Open Data
(making research data publicly available, e.g FAIR data)
,6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
",NA,NA,NA,4- Agree,NA,4- Agree,5- Strongly agree,NA,NA,NA,NA,1- I have done (including as a principal author or participant),NA,2- No,2- No,NA,NA,NA,NA,3- Probable,NA,3- Probable,4- High probability,NA,NA,NA,"▢	2- There is a lack of long-term data storage solutions, and short-term data storage solutions require frequent maintenance, which is inconvenient ,4- Sharing data requires manual and cumbersome processes,5- The volume of data is too large to upload,14- Privacy and confidentiality agreements require that data not be disclosed,15- Sensitive data is not available",NA,NA,NA,NA,NA,NA,NA,"11- Most research institutions and universities do not recognise preprints. They cannot be equated with journal papers for graduation, title appraisal and project applications",NA,"1- Conferences, lectures, etc. on open science,2- Social media and blogs such as Twitter, WeChat, etc",NA,4- Willing,1- Strongly unwilling,3- Neutral,4- Inadequate funding and resources for research,NA,"2- Google Scholar, web of science and other free indexing engines,4- SCI-HUB",NA,30,6,55,5,14,9,9,7,13,7,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before",17,12,11,41,41,14,22,29,23,22,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,Probably acceptable,Probably acceptable,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,3- Moderately important,No,NA,NA,Female,NA,26,Other____,Graduate,Rivers State University,Agriculture,2023,51,Nil
2024-04-01 22:57:28,2024-04-01 23:27:02,IP Address,197.210.227.99,100,1773,True,2024-04-01 23:27:03,R_2f9KsuFSYZA6QFd,NA,NA,NA,NA,4.7731,7.0085,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","1- Study Preregistration
(e.g pre-analysis plan, prospective registration)
,2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
,3- Replication Studies
 (research attempting to reproduce the methods and findings of prior research) 
,4- Open Data
(making research data publicly available, e.g FAIR data)
,5- Open Code
(making analysis code publicly available)
,6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
,8- Open Peer Review
 (journal or grant peer review where authors and reviewers are aware of each other's identity) 
",4- Agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,3- Neutral,5- Strongly agree,5- Strongly agree,1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),2- No,2- No,1- I have done (including as a principal author or participant),2- No,5- Very high probability,5- Very high probability,5- Very high probability,5- Very high probability,4- High probability,3- Probable,5- Very high probability,5- Very high probability,3- I want to contribute to advancing new theories in the limited time I have rather than replicating past research,NA,"8- Concern that others will use my data incorrectly or inappropriately, which may lead to misleading results",NA,1- I don't know how to share my code; not familiar with the process or the platform to open code,NA,5- Some may abuse the opportunity for open peer review to undermine an author's reputation or diminish the credibility of a publication by making offensive or negative comments,NA,3- It takes too long to publish a registered report compared to traditional publication models,NA,"3- Preprint articles without peer review are less credible and prone to erroneous conclusions affecting public perception and trust,10- Lack of sufficient incentives for me to change my habits,11- Most research institutions and universities do not recognise preprints. They cannot be equated with journal papers for graduation, title appraisal and project applications",NA,"2- Social media and blogs such as Twitter, WeChat, etc,6- Open science-related tools such as Github",NA,5- Highly willing,1- Strongly unwilling,1- Very difficult,"3- Legal restrictions on international data sharing and privacy protection issues,5- Challenges of policy or administrative constraints on international cooperation,8- Collaboration challenges posed by time zone differences,10- Potential impact of political and economic factors on cooperation",NA,"1- Literature resources purchased by the university library,2- Google Scholar, web of science and other free indexing engines,4- SCI-HUB,5- Paid access to the journal's official website,8- Write an email to the author requesting the article",NA,0,86,53,45,85,49,82,20,45,69,"Yes, I have done it before","Yes, I have done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before",54,90,83,92,87,56,95,82,57,0,Probably acceptable,Acceptable,Acceptable,Unacceptable,Probably acceptable,Acceptable,Probably acceptable,Probably acceptable,Unacceptable,Unacceptable,5- Very important,"Yes, need human sample",4- High representativeness,43,Male,NA,29,Other____,Graduate,University of Agriculture Makurdi,Medicine and Health,2017,46,The questionnaire is too long
2024-04-02 04:16:20,2024-04-02 04:34:03,IP Address,105.112.176.134,100,1062,True,2024-04-02 04:34:04,R_25Hs0qjY2UyW08g,NA,NA,NA,NA,12.996,7.6049,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","1- Study Preregistration
(e.g pre-analysis plan, prospective registration)
,2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
,3- Replication Studies
 (research attempting to reproduce the methods and findings of prior research) 
",4- Agree,4- Agree,5- Strongly agree,NA,NA,NA,NA,NA,3- My research doesn't involve this,3- My research doesn't involve this,3- My research doesn't involve this,NA,NA,NA,NA,NA,4- High probability,4- High probability,4- High probability,NA,NA,NA,NA,NA,"1- Replicating the research of others requires raw data or code, but sometimes the data and code may not be publicly available, or the data storage may be irregular and difficult to access,4- Some research questions are very complex and require expertise and skills in many areas, making it more challenging to conduct repetitive studies",NA,NA,NA,NA,NA,NA,NA,No reasons,NA,NA,NA,"1- Conferences, lectures, etc. on open science",NA,4- Willing,1- Strongly unwilling,2- Difficult,"1- There are language barriers that make communication difficult,2- Differences in academic culture and research practices,3- Legal restrictions on international data sharing and privacy protection issues,4- Inadequate funding and resources for research",NA,9- Ask friends or academic community for help,NA,55,45,53,57,60,55,50,51,54,54,"Yes, I have done it before","Yes, I have done it before","No, I have never done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before","Yes, I have done it before","Yes, I have done it before","Yes, I have done it before","Yes, I have done it before",60,58,61,50,51,51,49,53,52,48,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,4- Important,No,NA,NA,Male,NA,31,Other____,Nil,"University og Agriculture, Makurdi",Philosophy,I haven't had any relevant practice,45,NA
2024-04-02 07:39:50,2024-04-02 07:54:22,IP Address,137.184.200.107,100,872,True,2024-04-02 07:54:23,R_2MmSnxO9DgEYRqH,NA,NA,NA,NA,40.793,-74.0247,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","1- Study Preregistration
(e.g pre-analysis plan, prospective registration)
,2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
,3- Replication Studies
 (research attempting to reproduce the methods and findings of prior research) 
,4- Open Data
(making research data publicly available, e.g FAIR data)
,5- Open Code
(making analysis code publicly available)
,6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
",4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,NA,3- My research doesn't involve this,2- No,1- I have done (including as a principal author or participant),2- No,2- No,2- No,2- No,NA,3- Probable,3- Probable,3- Probable,3- Probable,3- Probable,3- Probable,3- Probable,NA,I am not involved in replication studies,NA,5- The volume of data is too large to upload,NA,"7- Concern that others will use my code incorrectly or inappropriately, which may lead to misleading results",NA,NA,NA,No reasons,NA,No reason,NA,5- Publications containing open science theory and practice,NA,4- Willing,1- Strongly unwilling,3- Neutral,"4- Inadequate funding and resources for research,10- Potential impact of political and economic factors on cooperation",NA,"2- Google Scholar, web of science and other free indexing engines,4- SCI-HUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unacceptable,Probably acceptable,Probably acceptable,Probably acceptable,Probably acceptable,Probably acceptable,Probably acceptable,Probably acceptable,Probably acceptable,Probably acceptable,3- Moderately important,No,NA,NA,Male,NA,30,Postgraduate,NA,UCAS,Science (including science and technology),I haven't had any relevant practice,73,NA
2024-04-02 07:51:48,2024-04-02 08:20:56,IP Address,197.211.53.8,100,1748,True,2024-04-02 08:20:57,R_530YbnL2314Jq29,NA,NA,NA,NA,9.0567,7.4969,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
",NA,5- Strongly agree,NA,NA,NA,NA,NA,NA,NA,3- My research doesn't involve this,NA,NA,NA,NA,NA,NA,NA,4- High probability,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4- Registered reports would require me to submit a study proposal before the beginning of the study and would limit flexibility,NA,NA,NA,"2- Social media and blogs such as Twitter, WeChat, etc",NA,4- Willing,1- Strongly unwilling,3- Neutral,2- Differences in academic culture and research practices,NA,5- Paid access to the journal's official website,NA,NA,62,85,76,54,73,9,8,NA,NA,"No, I have never done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before","Yes, I have done it before","Yes, I have done it before","No, I have never done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before",28,76,69,NA,92,87,NA,69,NA,5,Unacceptable,Probably acceptable,Probably acceptable,Acceptable,Acceptable,Acceptable,Probably acceptable,Acceptable,Probably acceptable,Probably acceptable,4- Important,"Yes, need human sample",3- Medium representativeness,93,Female,NA,24,Other____,NA,University of Agriculture Makurdi.,Interdisciplinary,I haven't had any relevant practice,32,Nothing.
2024-04-02 08:45:36,2024-04-02 09:06:58,IP Address,185.248.186.166,100,1281,True,2024-04-02 09:07:00,R_45HoKrdgAnRJZal,NA,NA,NA,NA,22.3981,113.9737,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","1- Study Preregistration
(e.g pre-analysis plan, prospective registration)
,2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
,3- Replication Studies
 (research attempting to reproduce the methods and findings of prior research) 
,6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
,8- Open Peer Review
 (journal or grant peer review where authors and reviewers are aware of each other's identity) 
",4- Agree,5- Strongly agree,4- Agree,NA,NA,3- Neutral,5- Strongly agree,5- Strongly agree,1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),NA,NA,2- No,1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),5- Very high probability,5- Very high probability,5- Very high probability,NA,NA,5- Very high probability,5- Very high probability,5- Very high probability,2- The original research methodology was not made public,NA,NA,NA,NA,NA,No reasons,NA,No reasons,NA,"4- Preprints may lead to some academic dishonesty, such as data falsification and plagiarism",NA,"1- Conferences, lectures, etc. on open science,2- Social media and blogs such as Twitter, WeChat, etc",NA,4- Willing,1- Strongly unwilling,3- Neutral,4- Inadequate funding and resources for research,NA,"1- Literature resources purchased by the university library,4- SCI-HUB,8- Write an email to the author requesting the article,9- Ask friends or academic community for help",NA,95,95,70,68,89,40,51,72,69,80,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before",5,5,5,2,3,7,7,6,5,5,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,Unacceptable,Probably acceptable,Probably acceptable,Unacceptable,Unacceptable,Unacceptable,5- Very important,"Yes, need human sample",4- High representativeness,50,Male,NA,30,Postgraduate,NA,Chinese Academy of Sciences,Medicine and Health,I haven't had any relevant practice,70,"Nil
"
2024-04-02 08:40:02,2024-04-02 09:17:43,IP Address,103.135.102.111,100,2261,True,2024-04-02 09:17:43,R_494FggIJ9MU6XyJ,NA,NA,NA,NA,22.2578,114.1657,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
,8- Open Peer Review
 (journal or grant peer review where authors and reviewers are aware of each other's identity) 
",NA,NA,NA,NA,NA,3- Neutral,4- Agree,4- Agree,NA,NA,NA,NA,NA,2- No,1- I have done (including as a principal author or participant),1- I have done (including as a principal author or participant),NA,NA,NA,NA,NA,3- Probable,4- High probability,4- High probability,NA,NA,NA,NA,NA,NA,I am not involved in open peer review,NA,NA,NA,My discipline does not involve preprints,NA,"2- Social media and blogs such as Twitter, WeChat, etc",NA,4- Willing,1- Strongly unwilling,4- Easy,I don't think there's an obstacle,NA,"2- Google Scholar, web of science and other free indexing engines,9- Ask friends or academic community for help",NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before",NA,NA,NA,NA,59,81,67,84,NA,NA,Unacceptable,Unacceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,Acceptable,4- Important,No,NA,NA,Male,NA,30,PhD,NA,Shenzen institute of advanced technology CAS,Science (including science and technology),2021,46,NA
2024-04-02 07:02:38,2024-04-02 09:42:42,IP Address,51.195.120.102,100,9604,True,2024-04-02 09:42:43,R_4ve9X90sQexC6o2,NA,NA,NA,NA,48.8582,2.3387,anonymous,EN-GB,"Yes, I fully understand","Yes, I fully understand","1- Study Preregistration
(e.g pre-analysis plan, prospective registration)
,2- Registered Reports
 (format of empirical article where a study proposal is reviewed before the research is undertaken) 
,3- Replication Studies
 (research attempting to reproduce the methods and findings of prior research) 
,4- Open Data
(making research data publicly available, e.g FAIR data)
,6- Preprints
(making research papers available prior to journal peer-review in an online repository)
,7- Open Access Publication
(making peer-reviewed papers or other publications publicly available)
,8- Open Peer Review
 (journal or grant peer review where authors and reviewers are aware of each other's identity) 
",4- Agree,3- Neutral,4- Agree,2- Disagree,NA,4- Agree,4- Agree,5- Strongly agree,2- No,1- I have done (including as a principal author or participant),3- My research doesn't involve this,3- My research doesn't involve this,NA,2- No,2- No,2- No,3- Probable,5- Very high probability,2- Low probability,4- High probability,NA,4- High probability,5- Very high probability,5- Very high probability,I am not involved in replication studies,NA,"8- Concern that others will use my data incorrectly or inappropriately, which may lead to misleading results",NA,NA,NA,"3- Open peer review may introduce more non-specialists to comment, which may result in reviewers of varying academic calibre, thereby reducing the quality and accuracy of the review.",NA,My studies are not involved in registered reports,NA,3- Preprint articles without peer review are less credible and prone to erroneous conclusions affecting public perception and trust,NA,"1- Conferences, lectures, etc. on open science",NA,5- Highly willing,1- Strongly unwilling,2- Difficult,"1- There are language barriers that make communication difficult,4- Inadequate funding and resources for research,8- Collaboration challenges posed by time zone differences",NA,"2- Google Scholar, web of science and other free indexing engines,4- SCI-HUB,6- ChinaXiv、arXiv, bioRxiv",NA,33,41,33,41,54,51,58,38,32,37,"No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","No, I have never done it before","Yes, I have done it before","Yes, I have done it before","No, I have never done it before","No, I have never done it before",29,28,37,25,NA,29,28,26,22,25,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Unacceptable,Probably acceptable,Unacceptable,Unacceptable,Unacceptable,5- Very important,"Yes, need human sample",4- High representativeness,72,Male,NA,30,PhD,NA,SIAT,Medicine and Health,2021,25,NA
